# Status-Ledger Hofenbitzer Band 1 — Quelle der Wahrheit fuer den Gate-Status. Trenner ";".
# Gates: T=transkribiert (Codex/Claude) · D=digital zweitgeprueft (Claude) · H=menschlich freigegeben (Werner).
# Spalte T/D/H = Datum JJJJ-MM-TT wenn erledigt; "ja" = erledigt, Datum nachzutragen; leer = offen.
81-86;VARIANTE;gut;transkription/eingang_codex_v2/s81-86_codex_v2_mit_pruefstellen.md;2026-06-25;;;;V2 mit Pruefstellen
87-91,98;VARIANTE;gut;transkription/eingang_codex_v2/s87-91_98_codex_v2_mit_pruefstellen.md;2026-06-25;;;;V2 mit Pruefstellen
99-104;VARIANTE;gut;transkription/eingang_codex_v2/s99-104_codex_v2_mit_pruefstellen.md;2026-06-26;;;;V2 mit Pruefstellen (Wickelrock/Drapierung, SSOT-Stichprobe gelesen, sauber)
105-110;VARIANTE;gut;transkription/eingang_codex_v2/s105-110_codex_v2_mit_pruefstellen.md;2026-06-27;;;;V2 mit Pruefstellen
111-116;VARIANTE;gut;transkription/eingang_codex_v2/s111-116_codex_v2_mit_pruefstellen.md;2026-06-27;;;;V2 mit Pruefstellen
117-122;VARIANTE;gut;transkription/eingang_codex_v2/s117-122_codex_v2_mit_pruefstellen.md;2026-06-28;;;;V2 mit Pruefstellen
123-128;VARIANTE;gut;transkription/eingang_codex_v2/s123-128_codex_v2_mit_pruefstellen.md;2026-06-28;;;;V2 mit Pruefstellen
129-134;VARIANTE;gut;transkription/eingang_codex_v2/s129-134_codex_v2_mit_pruefstellen.md;2026-06-27;;;;V2 mit Pruefstellen
135-140;VARIANTE;gut;transkription/eingang_codex_v2/s135-140_codex_v2_mit_pruefstellen.md;2026-06-27;;;;V2 mit Pruefstellen
141-146;VARIANTE;gut;transkription/eingang_codex_v2/s141-146_codex_v2_mit_pruefstellen.md;2026-06-28;;;;V2 mit Pruefstellen
147-152;VARIANTE;gut;transkription/eingang_codex_v2/s147-152_codex_v2_mit_pruefstellen.md;2026-06-28;;;;V2 mit Pruefstellen
153-158;VARIANTE;gut;transkription/eingang_codex_v2/s153-158_codex_v2_mit_pruefstellen.md;2026-06-28;;;;V2 mit Pruefstellen
159-164;VARIANTE;gut;transkription/eingang_codex_v2/s159-164_codex_v2_mit_pruefstellen.md;2026-06-29;;;;V2 mit Pruefstellen
165-170;VARIANTE;gut;transkription/eingang_codex_v2/s165-170_codex_v2_mit_pruefstellen.md;2026-06-29;;;;V2 mit Pruefstellen
171,182-183,188-190;VARIANTE;gut;transkription/eingang_codex_v2/s171_182-183_188-190_codex_v2_mit_pruefstellen.md;2026-06-29;;;;V2 mit Pruefstellen
197-202;VARIANTE;gut;transkription/eingang_codex_v2/s197-202_codex_v2_mit_pruefstellen.md;2026-06-28;;;;V2 mit Pruefstellen
203-208;VARIANTE;gut;transkription/eingang_codex_v2/s203-208_codex_v2_mit_pruefstellen.md;2026-06-29;;;;V2 mit Pruefstellen
209-214;VARIANTE;gut;transkription/eingang_codex_v2/s209-214_codex_v2_mit_pruefstellen.md;2026-06-29;;;;V2 mit Pruefstellen
215-220;VARIANTE;gut;transkription/eingang_codex_v2/s215-220_codex_v2_mit_pruefstellen.md;2026-06-29;;;;V2 mit Pruefstellen
1-6;KONTEXT;mittel;transkription/eingang_codex_v2/s1-6_9_frontmatter_codex_v2_mit_pruefstellen.md;2026-07-09;;;;Frontmatter als Arbeitszuordnung transkribiert/strukturiert, keine sicheren gedruckten Seitenzahlen sichtbar, D/H offen
9;KONTEXT;gut;transkription/eingang_codex_v2/s1-6_9_frontmatter_codex_v2_mit_pruefstellen.md;2026-07-10;;;;Foto 20260710_155129.jpg nachgereicht, Rohtranskription erstellt, D/H offen
305-316;KONTEXT;gut;transkription/eingang_codex_v2/s305-316_codex_v2_mit_pruefstellen.md;2026-07-09;;;;Kragen-Nachtrag, Fotoindex in diesem Bereich um eine Seite verschoben, gedruckte Seitenzahl im Foto ist massgeblich, D/H offen
